video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,region,latitude,longitude
-aSBct_gl-8,Why Big Tech Companies Want to Build AI Data Centres in Space? | Vantage with Palki Sharma | N18G,Firstpost,2025-11-05 17:19:31+00:00,106870,1636,,194,Global,55.702215,12.5592485
u7Mu7AAiabo,Good News for Battery Progress!,Sabine Hossenfelder,2025-11-04 16:01:32+00:00,593192,24550,,1736,Global,55.702215,12.5592485
znaNVWPSx68,"Tech News 2056 || realme GT 8 Pro, OPPO Find X9 Ultra, Apple X Google, Starlink, Telecom Tarrifs.Etc",Prasadtechintelugu,2025-11-06 14:24:14+00:00,162877,11377,,490,Global,55.702215,12.5592485
gkklrVa8amY,The Most Futuristic Tech Of 2025.....,TechWiser,2025-03-06 10:09:46+00:00,962412,61677,,220,Global,55.702215,12.5592485
8g5img1hTes,The Truth About AI And The Mass Layoffs,CNBC,2025-11-04 17:00:17+00:00,364343,5576,,602,Global,55.702215,12.5592485
_CLDk-wTZ5Q,China brain tech rivals Musk’s Neuralink,CNN,2025-07-21 00:00:41+00:00,84824,2323,,338,Global,55.702215,12.5592485
iG35MhoBNgo,"Tech News 2050 || iQOO 15 Launch, Galaxy TriFold, Nothing 3(a) Series, Vacuum, OpenAI music App.Etc.",Prasadtechintelugu,2025-10-27 14:01:13+00:00,176089,12034,,345,Global,55.702215,12.5592485
Bw8PGEaBCe8,US Army showcases autonomous weapons with serious bite!,BFBS Forces News,2024-08-09 11:00:10+00:00,654632,11827,,465,Global,55.702215,12.5592485
nlmSLdRJzaY,Big Tech News You Probably Missed This Past Week #tech,Tiff In Tech,2023-07-03 15:26:40+00:00,24872,939,,15,Global,55.702215,12.5592485
W7loYyy9tq8,Top Tech News from This week,The Cutting Edge School,2025-05-30 14:06:01+00:00,14576,600,,15,Global,55.702215,12.5592485
5fKkXFresYI,5 Times Tech has SAVED LIVES!,Mrwhosetheboss,2022-10-15 08:25:08+00:00,41098221,2634866,,8300,Global,55.702215,12.5592485
sU4CHW36qn0,Scientists Invent Youth Cocktail | Technology News | PRO Robots #shorts,PRO ROBOTS,2023-07-26 13:52:31+00:00,4888,203,,21,Global,55.702215,12.5592485
_vUUs5rrRAs,This Robot Will Replace the Police,Tech Moments,2024-12-11 15:00:50+00:00,10609263,368672,,7050,Global,55.702215,12.5592485
f-FyMY1LMwI,Top 15 New Technology Trends That Will Define 2026 [Part 2],AI Uncovered,2025-10-21 09:52:34+00:00,159313,2204,,78,Global,55.702215,12.5592485
1UufaK3pQMg,AI2027: Is this how AI might destroy humanity? - BBC World Service,BBC World Service,2025-08-01 23:00:03+00:00,1597758,16662,,4541,Global,55.702215,12.5592485
Oa0ZHfcalCM,"What do tech pioneers think about the AI revolution? - The Engineers, BBC World Service",BBC World Service,2024-08-10 11:00:31+00:00,2061287,34388,,1082,Global,55.702215,12.5592485
e5MqjY-4SFc,"Tech News 2057 || OPPO Find X9 series, GTA 6 Postponed, iPhone Air 2, Reno 15 mini, CMF Etc..",Prasadtechintelugu,2025-11-07 14:30:09+00:00,141015,10536,,340,Global,55.702215,12.5592485
84fsg6RSaHo,"Tech news 2051 || iQOO 15 launch , OnePlus 15, Samsung Tri Fold, Nothing 3a Lite, Lava Agni 4 Launch",Prasadtechintelugu,2025-10-28 14:11:15+00:00,214565,13554,,403,Global,55.702215,12.5592485
ypicIkaiViM,AI &amp; future of workforce: Andrew Yang on how the technology will impact jobs,CNBC Television,2025-06-18 12:39:53+00:00,856476,7161,,2349,Global,55.702215,12.5592485
DK9ZoAK3TD8,Technology is coming in many ways 🤯 #shortsfeed #relatable #batterfly  #technology #news #aviation,THE TIREPRENEUR,2025-06-29 09:18:28+00:00,2304,10,,0,Global,55.702215,12.5592485
